id_offre,titre,entreprise,ville,domaine,type_contrat,niveau_etudes_min,experience_min,salaire_fcfa,competences_requises,soft_skills,description
O0011,Community manager,Compagnie Congo Services,Madingou,Commerce / Vente / Marketing,CDI,Licence (BAC+3),3,200000,négociation commerciale; étude de marché; vente; marketing digital; community management,sens de l'organisation; prise d'initiative,"Compagnie Congo Services recrute un(e) Community manager à Madingou en CDI. Missions : intervenir sur des activités de commerce / vente / marketing et contribuer aux objectifs de l'équipe. Profil recherché : Licence (BAC+3) minimum, au moins 3 an(s) d'expérience. Compétences requises : négociation commerciale, étude de marché, vente, marketing digital, community management. Qualités attendues : sens de l'organisation, prise d'initiative."
O0012,Agronome,Compagnie Congo Services,Kinkala,Agriculture / Agroalimentaire,Stage,Master (BAC+5),3,1200000,élevage; pêche; transformation alimentaire; gestion coopérative; sylviculture,autonomie; rigueur,"Compagnie Congo Services recrute un(e) Agronome à Kinkala en Stage. Missions : intervenir sur des activités de agriculture / agroalimentaire et contribuer aux objectifs de l'équipe. Profil recherché : Master (BAC+5) minimum, au moins 3 an(s) d'expérience. Compétences requises : élevage, pêche, transformation alimentaire, gestion coopérative, sylviculture. Qualités attendues : autonomie, rigueur."
O0013,Responsable logistique,Entreprise Alima,Ouesso,Logistique / Transport,CDI,Master (BAC+5),8,300000,gestion de flotte; magasinage; supply chain; planification logistique; gestion de stock,esprit d'analyse; sens de l'organisation,"Entreprise Alima recrute un(e) Responsable logistique à Ouesso en CDI. Missions : intervenir sur des activités de logistique / transport et contribuer aux objectifs de l'équipe. Profil recherché : Master (BAC+5) minimum, au moins 8 an(s) d'expérience. Compétences requises : gestion de flotte, magasinage, supply chain, planification logistique, gestion de stock. Qualités attendues : esprit d'analyse, sens de l'organisation."
O0014,Agent de transformation,Compagnie Léfini,Brazzaville,Agriculture / Agroalimentaire,CDD,BAC+2 (BTS/DUT),2,250000,transformation alimentaire; agronomie; sylviculture; élevage; maraîchage; gestion coopérative,rigueur; esprit d'analyse,"Compagnie Léfini recrute un(e) Agent de transformation à Brazzaville en CDD. Missions : intervenir sur des activités de agriculture / agroalimentaire et contribuer aux objectifs de l'équipe. Profil recherché : BAC+2 (BTS/DUT) minimum, au moins 2 an(s) d'expérience. Compétences requises : transformation alimentaire, agronomie, sylviculture, élevage, maraîchage, gestion coopérative. Qualités attendues : rigueur, esprit d'analyse."
O0015,Administrateur réseau,Groupe Sangha,Pointe-Noire,Informatique / IT,CDI,BAC+2 (BTS/DUT),1,250000,développement web; php; développement mobile; analyse de données; bases de données,gestion du temps; sens de l'organisation,"Groupe Sangha recrute un(e) Administrateur réseau à Pointe-Noire en CDI. Missions : intervenir sur des activités de informatique / it et contribuer aux objectifs de l'équipe. Profil recherché : BAC+2 (BTS/DUT) minimum, au moins 1 an(s) d'expérience. Compétences requises : développement web, php, développement mobile, analyse de données, bases de données. Qualités attendues : gestion du temps, sens de l'organisation."
O0016,Chargé des marchés publics,Société Djoué,Pointe-Noire,Administration / RH / Juridique,CDI,Master (BAC+5),1,250000,passation de marchés; paie; secrétariat; gestion des ressources humaines; rédaction juridique; gestion administrative,esprit d'analyse; communication,"Société Djoué recrute un(e) Chargé des marchés publics à Pointe-Noire en CDI. Missions : intervenir sur des activités de administration / rh / juridique et contribuer aux objectifs de l'équipe. Profil recherché : Master (BAC+5) minimum, au moins 1 an(s) d'expérience. Compétences requises : passation de marchés, paie, secrétariat, gestion des ressources humaines, rédaction juridique, gestion administrative. Qualités attendues : esprit d'analyse, communication."
O0017,Agronome,Compagnie Djoué,Sibiti,Agriculture / Agroalimentaire,CDI,BEPC,1,300000,sylviculture; pêche; gestion coopérative,esprit d'analyse; travail en équipe,"Compagnie Djoué recrute un(e) Agronome à Sibiti en CDI. Missions : intervenir sur des activités de agriculture / agroalimentaire et contribuer aux objectifs de l'équipe. Profil recherché : BEPC minimum, au moins 1 an(s) d'expérience. Compétences requises : sylviculture, pêche, gestion coopérative. Qualités attendues : esprit d'analyse, travail en équipe."
O0018,Technicien agricole,Entreprise Alima,Pointe-Noire,Agriculture / Agroalimentaire,CDD,BEPC,1,200000,agronomie; transformation alimentaire; gestion coopérative; sylviculture; maraîchage; élevage,gestion du temps; prise d'initiative,"Entreprise Alima recrute un(e) Technicien agricole à Pointe-Noire en CDD. Missions : intervenir sur des activités de agriculture / agroalimentaire et contribuer aux objectifs de l'équipe. Profil recherché : BEPC minimum, au moins 1 an(s) d'expérience. Compétences requises : agronomie, transformation alimentaire, gestion coopérative, sylviculture, maraîchage, élevage. Qualités attendues : gestion du temps, prise d'initiative."
O0019,Auditeur junior,Société Batéké,Brazzaville,Banque / Finance,Intérim,BAC+2 (BTS/DUT),3,900000,microfinance; conformité bancaire; analyse financière; fiscalité; sage comptabilité,rigueur; sens de l'organisation,"Société Batéké recrute un(e) Auditeur junior à Brazzaville en Intérim. Missions : intervenir sur des activités de banque / finance et contribuer aux objectifs de l'équipe. Profil recherché : BAC+2 (BTS/DUT) minimum, au moins 3 an(s) d'expérience. Compétences requises : microfinance, conformité bancaire, analyse financière, fiscalité, sage comptabilité. Qualités attendues : rigueur, sens de l'organisation."
O0020,Secrétaire de direction,Entreprise M'Foa,Brazzaville,Administration / RH / Juridique,Consultance,Master (BAC+5),3,400000,archivage; secrétariat; passation de marchés; gestion administrative; gestion des ressources humaines,communication; autonomie,"Entreprise M'Foa recrute un(e) Secrétaire de direction à Brazzaville en Consultance. Missions : intervenir sur des activités de administration / rh / juridique et contribuer aux objectifs de l'équipe. Profil recherché : Master (BAC+5) minimum, au moins 3 an(s) d'expérience. Compétences requises : archivage, secrétariat, passation de marchés, gestion administrative, gestion des ressources humaines. Qualités attendues : communication, autonomie."
O0021,Analyste financier,Compagnie Djoué,Pointe-Noire,Banque / Finance,CDI,BEPC,3,250000,analyse financière; sage comptabilité; microfinance; conformité bancaire,gestion du temps; leadership,"Compagnie Djoué recrute un(e) Analyste financier à Pointe-Noire en CDI. Missions : intervenir sur des activités de banque / finance et contribuer aux objectifs de l'équipe. Profil recherché : BEPC minimum, au moins 3 an(s) d'expérience. Compétences requises : analyse financière, sage comptabilité, microfinance, conformité bancaire. Qualités attendues : gestion du temps, leadership."
O0022,Chef d'exploitation,Cabinet Plateaux,Kinkala,Agriculture / Agroalimentaire,CDI,BAC+2 (BTS/DUT),8,200000,pêche; sylviculture; élevage,esprit d'analyse; gestion du temps,"Cabinet Plateaux recrute un(e) Chef d'exploitation à Kinkala en CDI. Missions : intervenir sur des activités de agriculture / agroalimentaire et contribuer aux objectifs de l'équipe. Profil recherché : BAC+2 (BTS/DUT) minimum, au moins 8 an(s) d'expérience. Compétences requises : pêche, sylviculture, élevage. Qualités attendues : esprit d'analyse, gestion du temps."
O0023,Pharmacien assistant,Groupe Batéké,Pointe-Noire,Santé,CDI,Licence (BAC+3),3,700000,laboratoire médical; nutrition; pharmacie; santé publique; soins infirmiers; kinésithérapie,travail en équipe; communication,"Groupe Batéké recrute un(e) Pharmacien assistant à Pointe-Noire en CDI. Missions : intervenir sur des activités de santé et contribuer aux objectifs de l'équipe. Profil recherché : Licence (BAC+3) minimum, au moins 3 an(s) d'expérience. Compétences requises : laboratoire médical, nutrition, pharmacie, santé publique, soins infirmiers, kinésithérapie. Qualités attendues : travail en équipe, communication."
O0024,Développeur web,Groupe Niari,Pointe-Noire,Informatique / IT,Stage,BEPC,2,900000,java; linux; javascript; développement web; bases de données,esprit d'analyse; prise d'initiative,"Groupe Niari recrute un(e) Développeur web à Pointe-Noire en Stage. Missions : intervenir sur des activités de informatique / it et contribuer aux objectifs de l'équipe. Profil recherché : BEPC minimum, au moins 2 an(s) d'expérience. Compétences requises : java, linux, javascript, développement web, bases de données. Qualités attendues : esprit d'analyse, prise d'initiative."
O0025,Magasinier,Groupe Niari,Pointe-Noire,Logistique / Transport,CDI,BAC,3,400000,gestion de stock; transit; supply chain; douane,communication; sens de l'organisation,"Groupe Niari recrute un(e) Magasinier à Pointe-Noire en CDI. Missions : intervenir sur des activités de logistique / transport et contribuer aux objectifs de l'équipe. Profil recherché : BAC minimum, au moins 3 an(s) d'expérience. Compétences requises : gestion de stock, transit, supply chain, douane. Qualités attendues : communication, sens de l'organisation."
O0026,Technicien de laboratoire,Entreprise Léfini,Pointe-Noire,Santé,Stage,Licence (BAC+3),5,200000,soins infirmiers; kinésithérapie; santé publique; pharmacie,esprit d'analyse; travail en équipe,"Entreprise Léfini recrute un(e) Technicien de laboratoire à Pointe-Noire en Stage. Missions : intervenir sur des activités de santé et contribuer aux objectifs de l'équipe. Profil recherché : Licence (BAC+3) minimum, au moins 5 an(s) d'expérience. Compétences requises : soins infirmiers, kinésithérapie, santé publique, pharmacie. Qualités attendues : esprit d'analyse, travail en équipe."
O0027,Déclarant en douane,Société Congo Services,Brazzaville,Logistique / Transport,CDI,BAC,5,700000,gestion de stock; magasinage; gestion de flotte,gestion du temps; rigueur,"Société Congo Services recrute un(e) Déclarant en douane à Brazzaville en CDI. Missions : intervenir sur des activités de logistique / transport et contribuer aux objectifs de l'équipe. Profil recherché : BAC minimum, au moins 5 an(s) d'expérience. Compétences requises : gestion de stock, magasinage, gestion de flotte. Qualités attendues : gestion du temps, rigueur."
O0028,Technicien de laboratoire,Cabinet Alima,Nkayi,Santé,CDI,BAC+2 (BTS/DUT),0,300000,sage-femme; soins infirmiers; kinésithérapie,leadership; prise d'initiative,"Cabinet Alima recrute un(e) Technicien de laboratoire à Nkayi en CDI. Missions : intervenir sur des activités de santé et contribuer aux objectifs de l'équipe. Profil recherché : BAC+2 (BTS/DUT) minimum, au moins 0 an(s) d'expérience. Compétences requises : sage-femme, soins infirmiers, kinésithérapie. Qualités attendues : leadership, prise d'initiative."
O0029,Agent de transformation,Agence Kouilou,Pointe-Noire,Agriculture / Agroalimentaire,CDD,BAC,2,200000,agronomie; élevage; pêche; sylviculture; gestion coopérative; transformation alimentaire,leadership; travail en équipe,"Agence Kouilou recrute un(e) Agent de transformation à Pointe-Noire en CDD. Missions : intervenir sur des activités de agriculture / agroalimentaire et contribuer aux objectifs de l'équipe. Profil recherché : BAC minimum, au moins 2 an(s) d'expérience. Compétences requises : agronomie, élevage, pêche, sylviculture, gestion coopérative, transformation alimentaire. Qualités attendues : leadership, travail en équipe."
O0030,Technicien de maintenance télécom,Compagnie du Fleuve,Pointe-Noire,Télécommunications,Intérim,BEPC,8,250000,fibre optique; réseaux mobiles; bss/oss,autonomie; esprit d'analyse,"Compagnie du Fleuve recrute un(e) Technicien de maintenance télécom à Pointe-Noire en Intérim. Missions : intervenir sur des activités de télécommunications et contribuer aux objectifs de l'équipe. Profil recherché : BEPC minimum, au moins 8 an(s) d'expérience. Compétences requises : fibre optique, réseaux mobiles, bss/oss. Qualités attendues : autonomie, esprit d'analyse."
O0031,Gestionnaire de paie,Cabinet M'Foa,Pointe-Noire,Administration / RH / Juridique,CDD,BAC+2 (BTS/DUT),3,300000,droit du travail; archivage; paie; passation de marchés; secrétariat; gestion des ressources humaines,adaptabilité; travail en équipe,"Cabinet M'Foa recrute un(e) Gestionnaire de paie à Pointe-Noire en CDD. Missions : intervenir sur des activités de administration / rh / juridique et contribuer aux objectifs de l'équipe. Profil recherché : BAC+2 (BTS/DUT) minimum, au moins 3 an(s) d'expérience. Compétences requises : droit du travail, archivage, paie, passation de marchés, secrétariat, gestion des ressources humaines. Qualités attendues : adaptabilité, travail en équipe."
O0032,Cuisinier,Groupe Mayombe,Brazzaville,Hôtellerie / Restauration,CDD,BAC+2 (BTS/DUT),3,400000,cuisine; gestion hôtelière; pâtisserie; service en salle,rigueur; gestion du temps,"Groupe Mayombe recrute un(e) Cuisinier à Brazzaville en CDD. Missions : intervenir sur des activités de hôtellerie / restauration et contribuer aux objectifs de l'équipe. Profil recherché : BAC+2 (BTS/DUT) minimum, au moins 3 an(s) d'expérience. Compétences requises : cuisine, gestion hôtelière, pâtisserie, service en salle. Qualités attendues : rigueur, gestion du temps."
O0033,Formateur professionnel,Agence Kouilou,Dolisie,Éducation / Formation,CDD,BAC+2 (BTS/DUT),1,700000,pédagogie; encadrement scolaire; conception de programmes,adaptabilité; leadership,"Agence Kouilou recrute un(e) Formateur professionnel à Dolisie en CDD. Missions : intervenir sur des activités de éducation / formation et contribuer aux objectifs de l'équipe. Profil recherché : BAC+2 (BTS/DUT) minimum, au moins 1 an(s) d'expérience. Compétences requises : pédagogie, encadrement scolaire, conception de programmes. Qualités attendues : adaptabilité, leadership."
O0034,Technicien informatique,Société Niari,Brazzaville,Informatique / IT,CDD,BAC,3,150000,développement web; php; machine learning; cybersécurité; python,rigueur; prise d'initiative,"Société Niari recrute un(e) Technicien informatique à Brazzaville en CDD. Missions : intervenir sur des activités de informatique / it et contribuer aux objectifs de l'équipe. Profil recherché : BAC minimum, au moins 3 an(s) d'expérience. Compétences requises : développement web, php, machine learning, cybersécurité, python. Qualités attendues : rigueur, prise d'initiative."
O0035,Opérateur de production,Société Batéké,Nkayi,Pétrole / Gaz / Énergie,CDI,BAC+2 (BTS/DUT),1,1200000,qhse; hse; maintenance industrielle,leadership; communication,"Société Batéké recrute un(e) Opérateur de production à Nkayi en CDI. Missions : intervenir sur des activités de pétrole / gaz / énergie et contribuer aux objectifs de l'équipe. Profil recherché : BAC+2 (BTS/DUT) minimum, au moins 1 an(s) d'expérience. Compétences requises : qhse, hse, maintenance industrielle. Qualités attendues : leadership, communication."
O0036,Gouvernante,Société Sangha,Sibiti,Hôtellerie / Restauration,CDI,BAC+2 (BTS/DUT),1,900000,service en salle; pâtisserie; gestion hôtelière; housekeeping; cuisine,prise d'initiative; rigueur,"Société Sangha recrute un(e) Gouvernante à Sibiti en CDI. Missions : intervenir sur des activités de hôtellerie / restauration et contribuer aux objectifs de l'équipe. Profil recherché : BAC+2 (BTS/DUT) minimum, au moins 1 an(s) d'expérience. Compétences requises : service en salle, pâtisserie, gestion hôtelière, housekeeping, cuisine. Qualités attendues : prise d'initiative, rigueur."
O0037,Répétiteur,Entreprise du Fleuve,Nkayi,Éducation / Formation,CDI,Licence (BAC+3),3,700000,conception de programmes; alphabétisation; encadrement scolaire; formation professionnelle,prise d'initiative; gestion du temps,"Entreprise du Fleuve recrute un(e) Répétiteur à Nkayi en CDI. Missions : intervenir sur des activités de éducation / formation et contribuer aux objectifs de l'équipe. Profil recherché : Licence (BAC+3) minimum, au moins 3 an(s) d'expérience. Compétences requises : conception de programmes, alphabétisation, encadrement scolaire, formation professionnelle. Qualités attendues : prise d'initiative, gestion du temps."
O0038,Gestionnaire de flotte,Agence Niari,Pointe-Noire,Logistique / Transport,CDI,BAC,2,250000,magasinage; douane; supply chain; manutention portuaire,esprit d'analyse; autonomie,"Agence Niari recrute un(e) Gestionnaire de flotte à Pointe-Noire en CDI. Missions : intervenir sur des activités de logistique / transport et contribuer aux objectifs de l'équipe. Profil recherché : BAC minimum, au moins 2 an(s) d'expérience. Compétences requises : magasinage, douane, supply chain, manutention portuaire. Qualités attendues : esprit d'analyse, autonomie."
O0039,Ingénieur génie civil,Compagnie Djoué,Sibiti,BTP / Construction,CDD,Master (BAC+5),5,900000,génie civil; maçonnerie; électricité bâtiment; métré,esprit d'analyse; gestion du temps,"Compagnie Djoué recrute un(e) Ingénieur génie civil à Sibiti en CDD. Missions : intervenir sur des activités de btp / construction et contribuer aux objectifs de l'équipe. Profil recherché : Master (BAC+5) minimum, au moins 5 an(s) d'expérience. Compétences requises : génie civil, maçonnerie, électricité bâtiment, métré. Qualités attendues : esprit d'analyse, gestion du temps."
O0040,Assistant RH,Agence Congo Services,Brazzaville,Administration / RH / Juridique,Stage,Licence (BAC+3),3,500000,gestion des ressources humaines; archivage; secrétariat; gestion administrative; paie; passation de marchés,gestion du temps; autonomie,"Agence Congo Services recrute un(e) Assistant RH à Brazzaville en Stage. Missions : intervenir sur des activités de administration / rh / juridique et contribuer aux objectifs de l'équipe. Profil recherché : Licence (BAC+3) minimum, au moins 3 an(s) d'expérience. Compétences requises : gestion des ressources humaines, archivage, secrétariat, gestion administrative, paie, passation de marchés. Qualités attendues : gestion du temps, autonomie."
O0041,Superviseur réseau,Société du Fleuve,Pointe-Noire,Télécommunications,CDI,BAC+2 (BTS/DUT),1,250000,voip; réseaux mobiles; radiofréquence; bss/oss; fibre optique; maintenance télécom,travail en équipe; leadership,"Société du Fleuve recrute un(e) Superviseur réseau à Pointe-Noire en CDI. Missions : intervenir sur des activités de télécommunications et contribuer aux objectifs de l'équipe. Profil recherché : BAC+2 (BTS/DUT) minimum, au moins 1 an(s) d'expérience. Compétences requises : voip, réseaux mobiles, radiofréquence, bss/oss, fibre optique, maintenance télécom. Qualités attendues : travail en équipe, leadership."
O0042,Superviseur QHSE,Agence Batéké,Pointe-Noire,Pétrole / Gaz / Énergie,Consultance,BAC+2 (BTS/DUT),3,400000,gestion de plateforme; production pétrolière; inspection technique; maintenance industrielle; tuyauterie; qhse,gestion du temps; autonomie,"Agence Batéké recrute un(e) Superviseur QHSE à Pointe-Noire en Consultance. Missions : intervenir sur des activités de pétrole / gaz / énergie et contribuer aux objectifs de l'équipe. Profil recherché : BAC+2 (BTS/DUT) minimum, au moins 3 an(s) d'expérience. Compétences requises : gestion de plateforme, production pétrolière, inspection technique, maintenance industrielle, tuyauterie, qhse. Qualités attendues : gestion du temps, autonomie."
O0043,Cuisinier,Entreprise Congo Services,Pointe-Noire,Hôtellerie / Restauration,CDI,Master (BAC+5),3,250000,pâtisserie; gestion hôtelière; réception hôtelière,leadership; autonomie,"Entreprise Congo Services recrute un(e) Cuisinier à Pointe-Noire en CDI. Missions : intervenir sur des activités de hôtellerie / restauration et contribuer aux objectifs de l'équipe. Profil recherché : Master (BAC+5) minimum, au moins 3 an(s) d'expérience. Compétences requises : pâtisserie, gestion hôtelière, réception hôtelière. Qualités attendues : leadership, autonomie."
O0044,Technicien HSE,Cabinet Alima,Brazzaville,Pétrole / Gaz / Énergie,Intérim,BAC,3,900000,inspection technique; soudure; instrumentation; gestion de plateforme; production pétrolière; tuyauterie,adaptabilité; leadership,"Cabinet Alima recrute un(e) Technicien HSE à Brazzaville en Intérim. Missions : intervenir sur des activités de pétrole / gaz / énergie et contribuer aux objectifs de l'équipe. Profil recherché : BAC minimum, au moins 3 an(s) d'expérience. Compétences requises : inspection technique, soudure, instrumentation, gestion de plateforme, production pétrolière, tuyauterie. Qualités attendues : adaptabilité, leadership."
O0045,Auditeur junior,Société Batéké,Ouesso,Banque / Finance,CDI,BAC+2 (BTS/DUT),3,400000,analyse financière; gestion de trésorerie; fiscalité,gestion du temps; esprit d'analyse,"Société Batéké recrute un(e) Auditeur junior à Ouesso en CDI. Missions : intervenir sur des activités de banque / finance et contribuer aux objectifs de l'équipe. Profil recherché : BAC+2 (BTS/DUT) minimum, au moins 3 an(s) d'expérience. Compétences requises : analyse financière, gestion de trésorerie, fiscalité. Qualités attendues : gestion du temps, esprit d'analyse."
O0046,Mécanicien industriel,Agence M'Foa,Brazzaville,Pétrole / Gaz / Énergie,Stage,BEPC,3,150000,électromécanique; forage; maintenance industrielle,esprit d'analyse; prise d'initiative,"Agence M'Foa recrute un(e) Mécanicien industriel à Brazzaville en Stage. Missions : intervenir sur des activités de pétrole / gaz / énergie et contribuer aux objectifs de l'équipe. Profil recherché : BEPC minimum, au moins 3 an(s) d'expérience. Compétences requises : électromécanique, forage, maintenance industrielle. Qualités attendues : esprit d'analyse, prise d'initiative."
O0047,Développeur web,Cabinet Batéké,Madingou,Informatique / IT,CDD,Licence (BAC+3),8,500000,cybersécurité; analyse de données; python; développement mobile,prise d'initiative; sens de l'organisation,"Cabinet Batéké recrute un(e) Développeur web à Madingou en CDD. Missions : intervenir sur des activités de informatique / it et contribuer aux objectifs de l'équipe. Profil recherché : Licence (BAC+3) minimum, au moins 8 an(s) d'expérience. Compétences requises : cybersécurité, analyse de données, python, développement mobile. Qualités attendues : prise d'initiative, sens de l'organisation."
O0048,Sage-femme,Agence Mayombe,Nkayi,Santé,CDI,Licence (BAC+3),8,700000,kinésithérapie; imagerie médicale; pharmacie; laboratoire médical; sage-femme,gestion du temps; travail en équipe,"Agence Mayombe recrute un(e) Sage-femme à Nkayi en CDI. Missions : intervenir sur des activités de santé et contribuer aux objectifs de l'équipe. Profil recherché : Licence (BAC+3) minimum, au moins 8 an(s) d'expérience. Compétences requises : kinésithérapie, imagerie médicale, pharmacie, laboratoire médical, sage-femme. Qualités attendues : gestion du temps, travail en équipe."
O0049,Chef de projet IT,Société Djoué,Ouesso,Informatique / IT,CDD,Licence (BAC+3),2,300000,machine learning; cybersécurité; sql,rigueur; adaptabilité,"Société Djoué recrute un(e) Chef de projet IT à Ouesso en CDD. Missions : intervenir sur des activités de informatique / it et contribuer aux objectifs de l'équipe. Profil recherché : Licence (BAC+3) minimum, au moins 2 an(s) d'expérience. Compétences requises : machine learning, cybersécurité, sql. Qualités attendues : rigueur, adaptabilité."
O0050,Infirmier diplômé d'État,Agence Léfini,Brazzaville,Santé,CDD,BAC+2 (BTS/DUT),2,900000,soins infirmiers; imagerie médicale; kinésithérapie; laboratoire médical; sage-femme,rigueur; esprit d'analyse,"Agence Léfini recrute un(e) Infirmier diplômé d'État à Brazzaville en CDD. Missions : intervenir sur des activités de santé et contribuer aux objectifs de l'équipe. Profil recherché : BAC+2 (BTS/DUT) minimum, au moins 2 an(s) d'expérience. Compétences requises : soins infirmiers, imagerie médicale, kinésithérapie, laboratoire médical, sage-femme. Qualités attendues : rigueur, esprit d'analyse."
O0051,Superviseur QHSE,Entreprise du Fleuve,Pointe-Noire,Pétrole / Gaz / Énergie,Consultance,Licence (BAC+3),1,250000,gestion de plateforme; maintenance industrielle; hse; forage; production pétrolière,esprit d'analyse; communication,"Entreprise du Fleuve recrute un(e) Superviseur QHSE à Pointe-Noire en Consultance. Missions : intervenir sur des activités de pétrole / gaz / énergie et contribuer aux objectifs de l'équipe. Profil recherché : Licence (BAC+3) minimum, au moins 1 an(s) d'expérience. Compétences requises : gestion de plateforme, maintenance industrielle, hse, forage, production pétrolière. Qualités attendues : esprit d'analyse, communication."
