id_demandeur,nom,age,ville,domaine,titre_professionnel,niveau_etudes,annees_experience,competences,soft_skills,langues,cv_texte
PPPOO2501230018139,PPPOO2501230018139,24,Pool,"Sécurité, Sûreté & Défense",Agent de sécurité,BEPC,0,,,français,"Métier visé : Agent de sécurité. Qualification : agent de sécurité. Agent de Securite. Filière : Aucune. Secteur métier : Sécurité, Sûreté & Défense. Secteur d'activité : Sécurité et Gardiennage – Protection des Installations Stratégiques. Diplôme : Brevet d'Études du Premier Cycle (BEPC)."
PPPOO2501310019001,PPPOO2501310019001,28,Pool,"Informatique, Data, Télécommunications & Digital",Informaticienne,BAC,0,cybersécurité,,français,"Métier visé : Informaticienne. Qualification : informaticienne. Technicien Informatique. Filière : Bac A. Secteur métier : Informatique, Data, Télécommunications & Digital. Secteur d'activité : Informatique - Cybersécurité - Infographie - Data - Intelligence Artificielle - Digitalisation. Diplôme : Baccalauréat Général."
PPPOO2501310019037,PPPOO2501310019037,24,Pool,Parcours Étudiant et Formation,Etudiant ,BAC,0,comptabilité;enseignement,,français,Métier visé : Etudiant . Qualification : etudiant . Etudiant. Filière : Comptabilité. Secteur métier : Parcours Étudiant et Formation. Secteur d'activité : Éducation - Formation - Enseignement. Diplôme : BAC Technique.
PPPLA2501270018500,PPPLA2501270018500,37,Plateaux,"Industrie, Production & Maintenance",ElectroTechnicien,BAC,0,,,français,"Métier visé : ElectroTechnicien. Qualification : electrotechnicien. Technicien en Électrotechnique. Filière : Bac F3. Secteur métier : Industrie, Production & Maintenance. Diplôme : Baccalauréat Technologique."
PPCUV2501160017297,PPCUV2501160017297,29,Cuvette,"Commerce, Vente, Marketing & Distribution",Pompiste,BAC,0,vente,,français,"Métier visé : Pompiste. Qualification : pompiste. Employé de station-service. Filière : Bac D. Secteur métier : Commerce, Vente, Marketing & Distribution. Secteur d'activité : Commerce - Vente - Marketing - Grande distribution - Distribution - Négoce - Relation client . Diplôme : Baccalauréat Général."
PPCUV2501160017318,PPCUV2501160017318,44,Cuvette,"Commerce, Vente, Marketing & Distribution",Pompiste,BEPC,0,vente,,français,"Métier visé : Pompiste. Qualification : pompiste. Employé de station-service. Filière : Aucune. Secteur métier : Commerce, Vente, Marketing & Distribution. Secteur d'activité : Commerce - Vente - Marketing - Grande distribution - Distribution - Négoce - Relation client . Diplôme : Brevet d'Études du Premier Cycle (BEPC)."
PPCUV2501160017335,PPCUV2501160017335,50,Cuvette,"Commerce, Vente, Marketing & Distribution",Pompiste,Sans diplôme,0,vente,,français,"Métier visé : Pompiste. Qualification : pompiste. Employé de station-service. Filière : Aucune. Secteur métier : Commerce, Vente, Marketing & Distribution. Secteur d'activité : Commerce - Vente - Marketing - Grande distribution - Distribution - Négoce - Relation client . Diplôme : Certificat d'Études Primaires Élémentaires (CEPE)."
PPLIK2501030015771,PPLIK2501030015771,32,Likouala,"Commerce, Vente, Marketing & Distribution",Agent Commercial,BAC,0,vente,,français,"Métier visé : Agent Commercial. Qualification : agent commercial. Commercial. Filière : Bac D. Secteur métier : Commerce, Vente, Marketing & Distribution. Secteur d'activité : Commerce - Vente - Marketing - Grande distribution - Distribution - Négoce - Relation client . Diplôme : Baccalauréat Général."
PPLIK2501090016474,PPLIK2501090016474,24,Likouala,"Bâtiment, Travaux Publics & Aménagement du Territoire",Manœuvre,BAC,0,vente,,français,"Métier visé : Manœuvre. Qualification : manœuvre. Manœuvre. Filière : Bac A. Secteur métier : Bâtiment, Travaux Publics & Aménagement du Territoire. Secteur d'activité : Commerce - Vente - Marketing - Grande distribution - Distribution - Négoce - Relation client . Diplôme : Baccalauréat Général."
PPLIK2501090016518,PPLIK2501090016518,22,Likouala,"Bâtiment, Travaux Publics & Aménagement du Territoire",Manœuvre,BAC,0,vente,,français,"Métier visé : Manœuvre. Qualification : manœuvre. Manœuvre. Filière : Bac A. Secteur métier : Bâtiment, Travaux Publics & Aménagement du Territoire. Secteur d'activité : Commerce - Vente - Marketing - Grande distribution - Distribution - Négoce - Relation client . Diplôme : Baccalauréat Général."
PPLIK2501170017451,PPLIK2501170017451,25,Likouala,"Énergie, Environnement & Eau",Technicien de surface,BEPC,0,,,français,"Métier visé : Technicien de surface. Qualification : technicien de surface. Agent de propreté et d'hygiène. Filière : Sécurité Privée. Secteur métier : Énergie, Environnement & Eau. Diplôme : Brevet d'Études du Premier Cycle (BEPC)."
PPLIK2501170017565,PPLIK2501170017565,40,Likouala,"Bâtiment, Travaux Publics & Aménagement du Territoire",Maçon,BEPC,0,génie civil,,français,"Métier visé : Maçon. Qualification : maçon. Maçon. Filière : Aucune. Secteur métier : Bâtiment, Travaux Publics & Aménagement du Territoire. Secteur d'activité : Génie Civil - Construction - Bâtiment et Travaux - Architecture. Diplôme : Brevet d'Études du Premier Cycle (BEPC)."
PPLIK2501190017622,PPLIK2501190017622,39,Likouala,"Énergie, Environnement & Eau",Électricien,BEPC,0,vente,,français,"Métier visé : Électricien. Qualification : électricien. Électricien. Filière : Aucune. Secteur métier : Énergie, Environnement & Eau. Secteur d'activité : Commerce - Vente - Marketing - Grande distribution - Distribution - Négoce - Relation client . Diplôme : Brevet d'Études du Premier Cycle (BEPC)."
PPLIK2501200017672,PPLIK2501200017672,40,Likouala,Services à la Personne & Social,technicienne de surface,BEPC,0,génie civil,,français,Métier visé : technicienne de surface. Qualification : technicienne de surface. Technicien de Surface. Filière : Aucune. Secteur métier : Services à la Personne & Social. Secteur d'activité : Génie Civil - Construction - Bâtiment et Travaux - Architecture. Diplôme : Brevet d'Études du Premier Cycle (BEPC).
PPBZV2501110016729,PPBZV2501110016729,23,Brazzaville,Parcours Étudiant et Formation,Etudiant ,Licence (BAC+3),0,enseignement,,français,Métier visé : Etudiant . Qualification : etudiant . Etudiant. Filière : Aucune. Secteur métier : Parcours Étudiant et Formation. Secteur d'activité : Éducation - Formation - Enseignement. Diplôme : Pas de diplôme.
PPLIK2501230018163,PPLIK2501230018163,27,Likouala,"Énergie, Environnement & Eau",Électricie,BEPC,0,,,français,"Métier visé : Électricie. Qualification : électricie. Électricien. Filière : Aucune. Secteur métier : Énergie, Environnement & Eau. Diplôme : Brevet d'Études du Premier Cycle (BEPC)."
PPLIK2501310019025,PPLIK2501310019025,22,Likouala,Divers,Aucune,BAC,0,,,français,Métier visé : Aucune. Qualification : aucune. Aucune. Filière : Bac A. Diplôme : Baccalauréat Général.
PPLIK2501310019121,PPLIK2501310019121,20,Likouala,"Bâtiment, Travaux Publics & Aménagement du Territoire",Maçon,BAC,0,génie civil;maçonnerie,,français,"Métier visé : Maçon. Qualification : maçon. Maçon. Filière : Maçonnerie. Secteur métier : Bâtiment, Travaux Publics & Aménagement du Territoire. Secteur d'activité : Génie Civil - Construction - Bâtiment et Travaux - Architecture. Diplôme : Brevet d'Etude Technique (BET)."
PPBOU2502070019785,PPBOU2502070019785,43,Bouenza,"Industrie, Production & Maintenance",Mécanicien ,BAC+2 (BTS/DUT),0,,,français,"Métier visé : Mécanicien . Qualification : mécanicien . Mecanicien. Filière : Aucune. Secteur recherché : Énergie Renouvelable - Solaire - Éolien - Biomasse - Hydroélectrique - Électricité  - Énergie . Secteur métier : Industrie, Production & Maintenance. Secteur d'activité : Machines et équipements / Automobile. Diplôme : Pas de diplôme."
PPLIK2501080016406,PPLIK2501080016406,52,Likouala,"Santé, Pharmacie & Recherche Scientifique",assistants de santé,BAC,0,pharmacie;vente,,français,"Métier visé : assistants de santé. Qualification : assistants de santé. Assistant Medical. Filière : Bac D. Secteur métier : Santé, Pharmacie & Recherche Scientifique. Secteur d'activité : Santé - Médecine - Pharmacie - vente de produits pharmaceutiques. Diplôme : Baccalauréat Général."
PPLIK2501080016421,PPLIK2501080016421,19,Likouala,"Bâtiment, Travaux Publics & Aménagement du Territoire",Manœuvre,BAC,0,vente;électricité bâtiment,,français,"Métier visé : Manœuvre. Qualification : manœuvre. Manœuvre. Filière : Électricité bâtiment. Secteur métier : Bâtiment, Travaux Publics & Aménagement du Territoire. Secteur d'activité : Commerce - Vente - Marketing - Grande distribution - Distribution - Négoce - Relation client . Diplôme : Brevet d'Etude Technique (BET)."
PPBZV2502130020238,PPBZV2502130020238,28,Brazzaville,"Finance, Banque, Assurance, Comptabilité & Fiscalité","Cadre Finances, Comptabilité et Gestion",Master (BAC+5),0,comptabilité;fiscalité,,français,"Métier visé : Cadre Finances, Comptabilité et Gestion. Qualification : cadre finances, comptabilité et gestion. Comptable. Filière : Aucune. Secteur métier : Finance, Banque, Assurance, Comptabilité & Fiscalité. Secteur d'activité : Administration et Gestion - Fonction Publique - Ressources Humaines - Recrutement - Société d'intérim. Diplôme : Pas de diplôme."
PPLIK2501080016427,PPLIK2501080016427,46,Likouala,"Santé, Pharmacie & Recherche Scientifique",Sage-femme,BEPC,0,pharmacie;sage-femme;vente,,français,"Métier visé : Sage-femme. Qualification : sage-femme. Sage-Femme. Filière : Aucune. Secteur métier : Santé, Pharmacie & Recherche Scientifique. Secteur d'activité : Santé - Médecine - Pharmacie - vente de produits pharmaceutiques. Diplôme : Brevet d'Études du Premier Cycle (BEPC)."
PPLIK2501080016428,PPLIK2501080016428,29,Likouala,"Santé, Pharmacie & Recherche Scientifique",Infirmière,BEPC,0,pharmacie;vente,,français,"Métier visé : Infirmière. Qualification : infirmière. Infirmier. Filière : Aucune. Secteur métier : Santé, Pharmacie & Recherche Scientifique. Secteur d'activité : Santé - Médecine - Pharmacie - vente de produits pharmaceutiques. Diplôme : Brevet d'Études du Premier Cycle (BEPC)."
PPLIK2501080016429,PPLIK2501080016429,29,Likouala,"Commerce, Vente, Marketing & Distribution",vendeur/vendeuse en pharmacie.,BEPC,0,pharmacie;vente,,français,"Métier visé : vendeur/vendeuse en pharmacie.. Qualification : vendeur/vendeuse en pharmacie.. Vente Spécialisée - Pharmacie. Filière : Aucune. Secteur métier : Commerce, Vente, Marketing & Distribution. Secteur d'activité : Commerce - Vente - Marketing - Grande distribution - Distribution - Négoce - Relation client . Diplôme : Brevet d'Études du Premier Cycle (BEPC)."
PPLIK2501080016430,PPLIK2501080016430,71,Likouala,"Santé, Pharmacie & Recherche Scientifique",Sage-femme,BAC,0,pharmacie;sage-femme;vente,,français,"Métier visé : Sage-femme. Qualification : sage-femme. Sage-Femme. Filière : Bac C. Secteur métier : Santé, Pharmacie & Recherche Scientifique. Secteur d'activité : Santé - Médecine - Pharmacie - vente de produits pharmaceutiques. Diplôme : Baccalauréat Général."
PPLIK2501090016460,PPLIK2501090016460,58,Likouala,"Santé, Pharmacie & Recherche Scientifique",Infirmier,BAC,0,pharmacie;vente,,français,"Métier visé : Infirmier. Qualification : infirmier. Infirmier. Filière : Bac D. Secteur métier : Santé, Pharmacie & Recherche Scientifique. Secteur d'activité : Santé - Médecine - Pharmacie - vente de produits pharmaceutiques. Diplôme : Baccalauréat Général."
PPLIK2501090016466,PPLIK2501090016466,58,Likouala,"Santé, Pharmacie & Recherche Scientifique",Infirmière,BEPC,0,pharmacie;vente,,français,"Métier visé : Infirmière. Qualification : infirmière. Infirmier. Filière : Aucune. Secteur métier : Santé, Pharmacie & Recherche Scientifique. Secteur d'activité : Santé - Médecine - Pharmacie - vente de produits pharmaceutiques. Diplôme : Brevet d'Études du Premier Cycle (BEPC)."
PPLIK2501090016467,PPLIK2501090016467,54,Likouala,"Santé, Pharmacie & Recherche Scientifique",Laborantin,BEPC,0,pharmacie;vente,,français,"Métier visé : Laborantin. Qualification : laborantin. Technicien de laboratoire. Filière : Aucune. Secteur métier : Santé, Pharmacie & Recherche Scientifique. Secteur d'activité : Santé - Médecine - Pharmacie - vente de produits pharmaceutiques. Diplôme : Brevet d'Études du Premier Cycle (BEPC)."
PPLIK2501090016527,PPLIK2501090016527,29,Likouala,"Santé, Pharmacie & Recherche Scientifique",Infirmière,BEPC,0,pharmacie;vente,,français,"Métier visé : Infirmière. Qualification : infirmière. Infirmier. Filière : Aucune. Secteur métier : Santé, Pharmacie & Recherche Scientifique. Secteur d'activité : Santé - Médecine - Pharmacie - vente de produits pharmaceutiques. Diplôme : Brevet d'Études du Premier Cycle (BEPC)."
PPLIK2501150017261,PPLIK2501150017261,26,Likouala,"Bâtiment, Travaux Publics & Aménagement du Territoire",Manœuvre,BEPC,0,vente,,français,"Métier visé : Manœuvre. Qualification : manœuvre. Manœuvre. Filière : Aucune. Secteur métier : Bâtiment, Travaux Publics & Aménagement du Territoire. Secteur d'activité : Commerce - Vente - Marketing - Grande distribution - Distribution - Négoce - Relation client . Diplôme : Brevet d'Études du Premier Cycle (BEPC)."
PPLIK2501160017426,PPLIK2501160017426,24,Likouala,Divers,Aucune,BEPC,0,,,français,Métier visé : Aucune. Qualification : aucune. Aucune. Filière : Aucune. Diplôme : Brevet d'Études du Premier Cycle (BEPC).
PPLIK2501170017559,PPLIK2501170017559,24,Likouala,"Industrie, Production & Maintenance",Mécanicien ,BEPC,0,,,français,"Métier visé : Mécanicien . Qualification : mécanicien . Mecanicien. Filière : Aucune. Secteur métier : Industrie, Production & Maintenance. Secteur d'activité : Machines et équipements / Automobile. Diplôme : Brevet d'Études du Premier Cycle (BEPC)."
PPLIK2501170017561,PPLIK2501170017561,32,Likouala,Agriculture & Industrie Agroalimentaire,abatteur,BEPC,0,,,français,Métier visé : abatteur. Qualification : abatteur. Abatteur. Filière : Aucune. Secteur métier : Agriculture & Industrie Agroalimentaire. Secteur d'activité : Agriculture - Agroalimentaire - Brasserie - Produits laitiers - Boulangerie. Diplôme : Brevet d'Études du Premier Cycle (BEPC).
PPLIK2501170017563,PPLIK2501170017563,25,Likouala,"Bâtiment, Travaux Publics & Aménagement du Territoire",Manœuvre,Sans diplôme,0,vente,,français,"Métier visé : Manœuvre. Qualification : manœuvre. Manœuvre. Filière : Aucune. Secteur métier : Bâtiment, Travaux Publics & Aménagement du Territoire. Secteur d'activité : Commerce - Vente - Marketing - Grande distribution - Distribution - Négoce - Relation client . Diplôme : Certificat d'Études Primaires Élémentaires (CEPE)."
PPLIK2501170017570,PPLIK2501170017570,34,Likouala,"Bâtiment, Travaux Publics & Aménagement du Territoire",Manœuvre,Sans diplôme,0,vente,,français,"Métier visé : Manœuvre. Qualification : manœuvre. Manœuvre. Filière : Aucune. Secteur métier : Bâtiment, Travaux Publics & Aménagement du Territoire. Secteur d'activité : Commerce - Vente - Marketing - Grande distribution - Distribution - Négoce - Relation client . Diplôme : Certificat d'Études Primaires Élémentaires (CEPE)."
PPLIK2501230018160,PPLIK2501230018160,27,Likouala,"Bâtiment, Travaux Publics & Aménagement du Territoire",Manœuvre,Sans diplôme,0,vente,,français,"Métier visé : Manœuvre. Qualification : manœuvre. Manœuvre. Filière : Aucune. Secteur métier : Bâtiment, Travaux Publics & Aménagement du Territoire. Secteur d'activité : Commerce - Vente - Marketing - Grande distribution - Distribution - Négoce - Relation client . Diplôme : Certificat d'Études Primaires Élémentaires (CEPE)."
PPLIK2501310019120,PPLIK2501310019120,31,Likouala,"Bâtiment, Travaux Publics & Aménagement du Territoire",Manœuvre,BEPC,0,vente,,français,"Métier visé : Manœuvre. Qualification : manœuvre. Manœuvre. Filière : Aucune. Secteur métier : Bâtiment, Travaux Publics & Aménagement du Territoire. Secteur d'activité : Commerce - Vente - Marketing - Grande distribution - Distribution - Négoce - Relation client . Diplôme : Brevet d'Études du Premier Cycle (BEPC)."
PPBZV2501020015591,PPBZV2501020015591,53,Brazzaville,"Commerce, Vente, Marketing & Distribution",Pompiste,BAC,0,secrétariat;vente,,français,"Métier visé : Pompiste. Qualification : pompiste. Employé de station-service. Filière : Secrétariat. Secteur métier : Commerce, Vente, Marketing & Distribution. Secteur d'activité : Commerce - Vente - Marketing - Grande distribution - Distribution - Négoce - Relation client . Diplôme : Baccalauréat Professionnel."
PPBZV2501020015592,PPBZV2501020015592,28,Brazzaville,"Bâtiment, Travaux Publics & Aménagement du Territoire",Manœuvre,BAC,0,vente,,français,"Métier visé : Manœuvre. Qualification : manœuvre. Manœuvre. Filière : Bac D. Secteur métier : Bâtiment, Travaux Publics & Aménagement du Territoire. Secteur d'activité : Commerce - Vente - Marketing - Grande distribution - Distribution - Négoce - Relation client . Diplôme : Baccalauréat Général."
PPBZV2501020015594,PPBZV2501020015594,24,Brazzaville,"Bâtiment, Travaux Publics & Aménagement du Territoire",Manœuvre,BAC+2 (BTS/DUT),0,vente,,français,"Métier visé : Manœuvre. Qualification : manœuvre. Manœuvre. Filière : Électricité industrielle. Secteur métier : Bâtiment, Travaux Publics & Aménagement du Territoire. Secteur d'activité : Commerce - Vente - Marketing - Grande distribution - Distribution - Négoce - Relation client . Diplôme : Brevet de Technicien Supérieur (BTS)."
PPBZV2501020015596,PPBZV2501020015596,39,Brazzaville,"Commerce, Vente, Marketing & Distribution",Pompiste,BAC,0,vente,,français,"Métier visé : Pompiste. Qualification : pompiste. Employé de station-service. Filière : Bac A. Secteur métier : Commerce, Vente, Marketing & Distribution. Secteur d'activité : Commerce - Vente - Marketing - Grande distribution - Distribution - Négoce - Relation client . Diplôme : Baccalauréat Général."
PPBZV2502050019526,PPBZV2502050019526,35,Brazzaville,"Conseil, Stratégie & Gestion des Ressources Humaines",Assistant Responsable projet,Licence (BAC+3),0,gestion des ressources humaines,,français,"Métier visé : Assistant Responsable projet. Qualification : assistant responsable projet. Assistant Chef de Projet. Filière : Aucune. Secteur métier : Conseil, Stratégie & Gestion des Ressources Humaines. Secteur d'activité : Social. Diplôme : Pas de diplôme."
PPBZV2501020015598,PPBZV2501020015598,33,Brazzaville,"Commerce, Vente, Marketing & Distribution",Pompiste,BEPC,0,vente,,français,"Métier visé : Pompiste. Qualification : pompiste. Employé de station-service. Filière : Marketing. Secteur métier : Commerce, Vente, Marketing & Distribution. Secteur d'activité : Commerce - Vente - Marketing - Grande distribution - Distribution - Négoce - Relation client . Diplôme : Brevet d'Études du Premier Cycle (BEPC)."
PPBZV2501020015599,PPBZV2501020015599,34,Brazzaville,Droit et Justice,Juriste,Licence (BAC+3),0,fiscalité,,français,Métier visé : Juriste. Qualification : juriste. Juriste. Filière : Droit des Affaires et Fiscalité. Secteur métier : Droit et Justice. Secteur d'activité : Droit et Justice. Diplôme : Licence.
PPBZV2501020015600,PPBZV2501020015600,25,Brazzaville,"Commerce, Vente, Marketing & Distribution",Pompiste,Licence (BAC+3),0,comptabilité;vente,,français,"Métier visé : Pompiste. Qualification : pompiste. Employé de station-service. Filière : Comptabilité. Secteur métier : Commerce, Vente, Marketing & Distribution. Secteur d'activité : Commerce - Vente - Marketing - Grande distribution - Distribution - Négoce - Relation client . Diplôme : Licence Professionnelle ."
PPBZV2501020015602,PPBZV2501020015602,28,Brazzaville,"Commerce, Vente, Marketing & Distribution",Pompiste,Licence (BAC+3),0,vente,,français,"Métier visé : Pompiste. Qualification : pompiste. Employé de station-service. Filière : Banque et Finance. Secteur métier : Commerce, Vente, Marketing & Distribution. Secteur d'activité : Commerce - Vente - Marketing - Grande distribution - Distribution - Négoce - Relation client . Diplôme : Licence Professionnelle ."
PPBZV2501020015607,PPBZV2501020015607,24,Brazzaville,"Commerce, Vente, Marketing & Distribution",Pompiste,BAC,0,vente,,français,"Métier visé : Pompiste. Qualification : pompiste. Employé de station-service. Filière : Bac A. Secteur métier : Commerce, Vente, Marketing & Distribution. Secteur d'activité : Commerce - Vente - Marketing - Grande distribution - Distribution - Négoce - Relation client . Diplôme : Baccalauréat Général."
PPBZV2501020015609,PPBZV2501020015609,22,Brazzaville,"Informatique, Data, Télécommunications & Digital",Administrateur réseau,BAC,0,cybersécurité,,français,"Métier visé : Administrateur réseau. Qualification : administrateur réseau. Administrateur Réseaux & Télécoms. Filière : Réseaux et Télécommunications. Secteur métier : Informatique, Data, Télécommunications & Digital. Secteur d'activité : Informatique - Cybersécurité - Infographie - Data - Intelligence Artificielle - Digitalisation. Diplôme : BAC Technique."
PPBZV2501020015610,PPBZV2501020015610,32,Brazzaville,Services à la Personne & Social,Agent d'entretien,BAC,0,,,français,Métier visé : Agent d'entretien. Qualification : agent d'entretien. Agent d'Entretien. Filière : Bac D. Secteur métier : Services à la Personne & Social. Secteur d'activité : Nettoyage - Blanchisserie - Pressing. Diplôme : Baccalauréat Général.
PPBZV2501020015612,PPBZV2501020015612,34,Brazzaville,"Assurance Qualité, Contrôle, Testing (QHSE)",Chef de Service Gestion HSE en Exécution de Projet,Master (BAC+5),0,fiscalité;génie civil;hse;qhse,,français,"Métier visé : Chef de Service Gestion HSE en Exécution de Projet. Qualification : chef de service gestion hse en exécution de projet. Chef de Service HSE. Filière : Droit des Affaires et Fiscalité. Secteur recherché : Communication - Médias - Informations - Community Manager - Audiovisuel et Multimédia - Journalisme. Secteur métier : Assurance Qualité, Contrôle, Testing (QHSE). Secteur d'activité : Génie Civil - Construction - Bâtiment et Travaux - Architecture. Diplôme : Master."
PPBZV2501020015614,PPBZV2501020015614,35,Brazzaville,"Finance, Banque, Assurance, Comptabilité & Fiscalité",Gestionnaire comptable et financière,BAC,0,comptabilité;fiscalité,,français,"Métier visé : Gestionnaire comptable et financière. Qualification : gestionnaire comptable et financière. Comptable. Filière : Comptabilité. Secteur métier : Finance, Banque, Assurance, Comptabilité & Fiscalité. Secteur d'activité : Audits - Finance - Banque - Assurance - Fiscalité - Comptabilité - Expertise Comptable. Diplôme : Baccalauréat Professionnel."
