id_offre,titre,entreprise,ville,domaine,type_contrat,niveau_etudes_min,experience_min,competences_requises,description
JOB250001212,RESPONSABLE D'ENTREPOT,AFRICA GLOBAL LOGISTICS CONGO (AGL),Pointe-Noire,"Transport, Logistique & Supply Chain",CDD,,,supply chain,"RESPONSABLE D'ENTREPOT Secteur : Transport, Logistique & Supply Chain."
JOB250001213,GESTIONNAIRE DE STOCK,AFRICA GLOBAL LOGISTICS CONGO (AGL),Pointe-Noire,"Transport, Logistique & Supply Chain",CDD,,,supply chain,"GESTIONNAIRE DE STOCK Secteur : Transport, Logistique & Supply Chain."
JOB250001328,Responsable Audit Interne,AFRICA GLOBAL LOGISTICS CONGO (AGL),Pointe-Noire,"Transport, Logistique & Supply Chain",CDI,,,audit; supply chain,"Responsable Audit Interne  Secteur : Transport, Logistique & Supply Chain."
JOB250001622,Chef magasinier,AFRICA GLOBAL LOGISTICS CONGO (AGL),Pointe-Noire,"Industrie, Production & Maintenance",CDD,,,,"Chef magasinier  Secteur : Industrie, Production & Maintenance."
JOB250001650,Administrateur Réseaux-Téléccom & Controle Accès,AFRICA GLOBAL LOGISTICS CONGO (AGL),Pointe-Noire,"Informatique, Data, Télécommunications & Digital",CDD,,,,"Administrateur Réseaux-Téléccom & Controle Accès Secteur : Informatique, Data, Télécommunications & Digital."
JOB250001856,OPERATEUR DOSSIER (FOP),AFRICA GLOBAL LOGISTICS CONGO (AGL),Pointe-Noire,"Transport, Logistique & Supply Chain",CDI,,,supply chain,"OPERATEUR DOSSIER (FOP) Secteur : Transport, Logistique & Supply Chain."
JOB250001857,AGENTS DE RECOUVREMENT,AFRICA GLOBAL LOGISTICS CONGO (AGL),Pointe-Noire,"Finance, Banque, Assurance, Comptabilité & Fiscalité",CDI,,,comptabilité; fiscalité,"AGENTS DE RECOUVREMENT Secteur : Finance, Banque, Assurance, Comptabilité & Fiscalité."
JOB250002348,Coordinateur des Opérations,AFRICA GLOBAL LOGISTICS CONGO (AGL),Pointe-Noire,"Transport, Logistique & Supply Chain",CDD,,,supply chain,"Coordinateur des Opérations Secteur : Transport, Logistique & Supply Chain."
JOB250002366,Assistant Qualité,AFRICA GLOBAL LOGISTICS CONGO (AGL),Pointe-Noire,"Assurance Qualité, Contrôle, Testing (QHSE)",CDD,,,qhse,"Assistant Qualité Secteur : Assurance Qualité, Contrôle, Testing (QHSE)."
JOB250002561,Superviseur des Opérations Logistiques,AFRICA GLOBAL LOGISTICS CONGO (AGL),Pointe-Noire,"Commerce, Vente, Marketing & Distribution",CDD,,,vente,"Superviseur des Opérations Logistiques Secteur : Commerce, Vente, Marketing & Distribution."
JOB250002847,Fiscaliste,AFRICA GLOBAL LOGISTICS CONGO (AGL),Pointe-Noire,"Finance, Banque, Assurance, Comptabilité & Fiscalité",CDI,,,comptabilité; fiscalité,"Fiscaliste Secteur : Finance, Banque, Assurance, Comptabilité & Fiscalité."
JOB250002848,Responsable Administratif et Financier Shipping,AFRICA GLOBAL LOGISTICS CONGO (AGL),Pointe-Noire,"Conseil, Stratégie & Gestion des Ressources Humaines",CDI,,,gestion des ressources humaines,"Responsable Administratif et Financier Shipping  Secteur : Conseil, Stratégie & Gestion des Ressources Humaines."
JOB250002849,Controleur de Gestion,AFRICA GLOBAL LOGISTICS CONGO (AGL),Pointe-Noire,"Finance, Banque, Assurance, Comptabilité & Fiscalité",CDI,,,comptabilité; fiscalité,"Controleur de Gestion Secteur : Finance, Banque, Assurance, Comptabilité & Fiscalité."
JOB250002852,Responsable Développement RH,AFRICA GLOBAL LOGISTICS CONGO (AGL),Pointe-Noire,"Conseil, Stratégie & Gestion des Ressources Humaines",CDI,,,gestion des ressources humaines,"Responsable Développement RH  Secteur : Conseil, Stratégie & Gestion des Ressources Humaines."
NONREF000399,Responsable Qualité,AFRICA GLOBAL LOGISTICS CONGO (AGL),Pointe-Noire,"Transport, Logistique & Supply Chain",CDD,,,supply chain,"Responsable Qualité Secteur : Transport, Logistique & Supply Chain."
JOB250002181,Directeur Administratif et Financier,AFRICA LEADER CONTRACTING INDUSTRIES,Pointe-Noire,"Finance, Banque, Assurance, Comptabilité & Fiscalité",CDI,,,comptabilité; fiscalité,"Directeur Administratif et Financier Secteur : Finance, Banque, Assurance, Comptabilité & Fiscalité."
JOB250001762,Agent Customer Registration (KYC),AFRICA MOTOR COMPANY,Brazzaville,"Commerce, Vente, Marketing & Distribution",CDD,,,vente,"Agent Customer Registration (KYC) Secteur : Commerce, Vente, Marketing & Distribution."
NONREF000044,Assistante RH,AFRICAINE DES M C,Pointe-Noire,"Conseil, Stratégie & Gestion des Ressources Humaines",CDD,,,gestion des ressources humaines,"Assistante RH Secteur : Conseil, Stratégie & Gestion des Ressources Humaines."
NONREF000162,Jardiniers,AFRIK GLOBAL EXTENSION,Pointe-Noire,"Transport, Logistique & Supply Chain",CDD,,,supply chain,"Jardiniers Secteur : Transport, Logistique & Supply Chain."
NONREF000214,Responsable logistique,AFRIK GLOBAL EXTENSION,Pointe-Noire,"Transport, Logistique & Supply Chain",CDI,,,supply chain,"Responsable logistique Secteur : Transport, Logistique & Supply Chain."
JOB250000839,SOUDEUR,AFRIK GLOBAL EXTENSION HR CONGO SARL,Pointe-Noire,"Industrie, Production & Maintenance",CDI,,,,"SOUDEUR Secteur : Industrie, Production & Maintenance."
JOB250000840,RESPONSABLE PONT ADJOINT,AFRIK GLOBAL EXTENSION HR CONGO SARL,Pointe-Noire,"Commerce, Vente, Marketing & Distribution",CDI,,,vente,"RESPONSABLE PONT ADJOINT Secteur : Commerce, Vente, Marketing & Distribution."
JOB250000841,CHEF D'EQUIPE MECANICIEN,AFRIK GLOBAL EXTENSION HR CONGO SARL,Pointe-Noire,"Commerce, Vente, Marketing & Distribution",CDI,,,vente,"CHEF D'EQUIPE MECANICIEN Secteur : Commerce, Vente, Marketing & Distribution."
JOB250001775,RESPONSABLE DE STOCK,AFRIK GLOBAL EXTENSION HR CONGO SARL,Pointe-Noire,"Conseil, Stratégie & Gestion des Ressources Humaines",CDI,,,gestion des ressources humaines,"RESPONSABLE DE STOCK Secteur : Conseil, Stratégie & Gestion des Ressources Humaines."
JOB250001859,Assistant Logistique,AFRIK GLOBAL EXTENSION HR CONGO SARL,Pointe-Noire,"Transport, Logistique & Supply Chain",CDD,,,supply chain,"Assistant Logistique Secteur : Transport, Logistique & Supply Chain."
NONREF000108,Conducteur pelle,AFRIKA GLOBAL EXTENSION,Pointe-Noire,"Transport, Logistique & Supply Chain",CDD,,,supply chain,"Conducteur pelle Secteur : Transport, Logistique & Supply Chain."
NONREF000084,Chef d'équipe mécanicien,AFRIK-GLOBAL,Pointe-Noire,"Transport, Logistique & Supply Chain",CDI,,,supply chain,"Chef d'équipe mécanicien Secteur : Transport, Logistique & Supply Chain."
NONREF000218,Responsable Pont,AFRIK-GLOBAL,Pointe-Noire,"Transport, Logistique & Supply Chain",CDI,,,supply chain,"Responsable Pont Secteur : Transport, Logistique & Supply Chain."
NONREF000233,Soudeur,AFRIK-GLOBAL,Pointe-Noire,"Transport, Logistique & Supply Chain",CDI,,,supply chain,"Soudeur Secteur : Transport, Logistique & Supply Chain."
JOB250001820,INSTRUMENTISTES,AG GROUP,Pointe-Noire,"Pétrole, Gaz & Hydrocarbures",CDD,,,,"INSTRUMENTISTES Secteur : Pétrole, Gaz & Hydrocarbures."
JOB250001821,SPECIALISTER.H,AG GROUP,Pointe-Noire,"Bâtiment, Travaux Publics & Aménagement du Territoire",CDD,,,,"SPECIALISTER.H Secteur : Bâtiment, Travaux Publics & Aménagement du Territoire."
JOB250001822,SERVANT ( Cuisine et Ménage),AG GROUP,Pointe-Noire,"Conseil, Stratégie & Gestion des Ressources Humaines",CDD,,,cuisine; gestion des ressources humaines,"SERVANT ( Cuisine et Ménage) Secteur : Conseil, Stratégie & Gestion des Ressources Humaines."
JOB250001824,RESPONSABLE FINANCIER,AG GROUP,Pointe-Noire,"Bâtiment, Travaux Publics & Aménagement du Territoire",CDD,,,,"RESPONSABLE FINANCIER Secteur : Bâtiment, Travaux Publics & Aménagement du Territoire."
JOB250001826,COMPTABLE,AG GROUP,Pointe-Noire,"Bâtiment, Travaux Publics & Aménagement du Territoire",CDD,,,,"COMPTABLE  Secteur : Bâtiment, Travaux Publics & Aménagement du Territoire."
JOB250001827,RESPONSABLE DE RESOURCE HUMAINES,AG GROUP,Pointe-Noire,"Bâtiment, Travaux Publics & Aménagement du Territoire",CDD,,,,"RESPONSABLE DE RESOURCE HUMAINES Secteur : Bâtiment, Travaux Publics & Aménagement du Territoire."
JOB250001828,CHEF DE PROJET,AG GROUP,Pointe-Noire,"Bâtiment, Travaux Publics & Aménagement du Territoire",CDD,,,,"CHEF DE PROJET  Secteur : Bâtiment, Travaux Publics & Aménagement du Territoire."
JOB250001829,TECHNICIEN D'INSTALLATION,AG GROUP,Pointe-Noire,"Bâtiment, Travaux Publics & Aménagement du Territoire",CDD,,,,"TECHNICIEN D'INSTALLATION Secteur : Bâtiment, Travaux Publics & Aménagement du Territoire."
JOB250001831,GEOMETRE,AG GROUP,Pointe-Noire,"Bâtiment, Travaux Publics & Aménagement du Territoire",CDD,,,,"GEOMETRE Secteur : Bâtiment, Travaux Publics & Aménagement du Territoire."
JOB250001833,AIDE GEOMETRE,AG GROUP,Pointe-Noire,"Bâtiment, Travaux Publics & Aménagement du Territoire",CDD,,,,"AIDE GEOMETRE Secteur : Bâtiment, Travaux Publics & Aménagement du Territoire."
JOB250001836,CONDUCTEUR D'EQUIPEMENT,AG GROUP,Pointe-Noire,"Bâtiment, Travaux Publics & Aménagement du Territoire",CDD,,,,"CONDUCTEUR D'EQUIPEMENT Secteur : Bâtiment, Travaux Publics & Aménagement du Territoire."
JOB250002089,Ingénieur Agronome Forestier (Chef de projet),AG GROUP,Pointe-Noire,Exploitation Forestière & Bois,CDD,,,,Ingénieur Agronome Forestier (Chef de projet) Secteur : Exploitation Forestière & Bois.
JOB250002094,Ouvrier Forestier,AG GROUP,Pointe-Noire,Agriculture & Industrie Agroalimentaire,CDD,,,,Ouvrier Forestier Secteur : Agriculture & Industrie Agroalimentaire.
JOB250002095,Chauffeur Grutier,AG GROUP,Pointe-Noire,Agriculture & Industrie Agroalimentaire,CDD,,,,Chauffeur Grutier Secteur : Agriculture & Industrie Agroalimentaire.
JOB250002097,Conducteur d'Engin,AG GROUP,Pointe-Noire,Agriculture & Industrie Agroalimentaire,CDD,,,,Conducteur d'Engin Secteur : Agriculture & Industrie Agroalimentaire.
JOB250002098,Pépinieriste Forestier,AG GROUP,Pointe-Noire,Agriculture & Industrie Agroalimentaire,CDD,,,,Pépinieriste Forestier Secteur : Agriculture & Industrie Agroalimentaire.
JOB250002099,Spécialiste en protection des végétaux,AG GROUP,Pointe-Noire,Agriculture & Industrie Agroalimentaire,CDD,,,,Spécialiste en protection des végétaux Secteur : Agriculture & Industrie Agroalimentaire.
JOB250002100,Technicien Forestier,AG GROUP,Pointe-Noire,Agriculture & Industrie Agroalimentaire,CDD,,,,Technicien Forestier Secteur : Agriculture & Industrie Agroalimentaire.
NONREF000005,Agent commercial ligne Mart,AGL,Pointe-Noire,"Transport, Logistique & Supply Chain",CDD,,,supply chain,"Agent commercial ligne Mart Secteur : Transport, Logistique & Supply Chain."
NONREF000013,Agent logistique et Int,AGL,Pointe-Noire,"Transport, Logistique & Supply Chain",CDD,,,supply chain,"Agent logistique et Int Secteur : Transport, Logistique & Supply Chain."
NONREF000052,Auditeur interne junior,AGL,Pointe-Noire,"Transport, Logistique & Supply Chain",CDD,,,supply chain,"Auditeur interne junior Secteur : Transport, Logistique & Supply Chain."
NONREF000096,Comptable,AGL,Pointe-Noire,"Transport, Logistique & Supply Chain",CDI,,,supply chain,"Comptable Secteur : Transport, Logistique & Supply Chain."
JOB250001715,Assistant de Direction,AGROVA,Pointe-Noire,"Conseil, Stratégie & Gestion des Ressources Humaines",CDD,,,gestion des ressources humaines,"Assistant de Direction Secteur : Conseil, Stratégie & Gestion des Ressources Humaines."
JOB250002289,AGRONOME,AGROVA,Pointe-Noire,Agriculture & Industrie Agroalimentaire,CDD,,,,AGRONOME Secteur : Agriculture & Industrie Agroalimentaire.
NONREF000055,Business developer,AIR LIQUIDE,Pointe-Noire,"Industrie, Production & Maintenance",CDD,,,,"Business developer Secteur : Industrie, Production & Maintenance."
JOB250001232,Superviseur Marketing - Internet Résidentiel (Home Broadband),AIRTEL CONGO SA,Brazzaville,"Commerce, Vente, Marketing & Distribution",CDD,,,vente,"Superviseur Marketing - Internet Résidentiel (Home Broadband)  Secteur : Commerce, Vente, Marketing & Distribution."
JOB250001233,Superviseur Régional des Ventes - Internet Résidentiel HBB (Home Broadband),AIRTEL CONGO SA,Brazzaville,"Commerce, Vente, Marketing & Distribution",CDD,,,vente,"Superviseur Régional des Ventes - Internet Résidentiel HBB (Home Broadband)  Secteur : Commerce, Vente, Marketing & Distribution."
JOB250001234,Analyste des activités - Internet Résidentiel HBB (Home Broadband),AIRTEL CONGO SA,Brazzaville,"Commerce, Vente, Marketing & Distribution",CDD,,,vente,"Analyste des activités - Internet Résidentiel HBB (Home Broadband)  Secteur : Commerce, Vente, Marketing & Distribution."
JOB250001235,Superviseur Expérience Client - Internet Résidentiel,AIRTEL CONGO SA,Brazzaville,"Commerce, Vente, Marketing & Distribution",CDD,,,vente,"Superviseur Expérience Client - Internet Résidentiel Secteur : Commerce, Vente, Marketing & Distribution."
JOB250001591,SPECIALISTE FRAUDE,AIRTEL CONGO SA,Brazzaville,"Informatique, Data, Télécommunications & Digital",CDD,,,,"SPECIALISTE FRAUDE Secteur : Informatique, Data, Télécommunications & Digital."
JOB250001684,contrôleur interne,AIRTEL CONGO SA,Brazzaville,"Commerce, Vente, Marketing & Distribution",CDD,,,vente,"contrôleur interne Secteur : Commerce, Vente, Marketing & Distribution."
JOB250001951,DISTRIBUTION MANAGER,AIRTEL CONGO SA,Brazzaville,"Transport, Logistique & Supply Chain",CDD,,,supply chain,"DISTRIBUTION MANAGER Secteur : Transport, Logistique & Supply Chain."
JOB250002615,ASSISTANT DES OPERATIONS AIRTEL MONEY,AIRTEL CONGO SA,Brazzaville,"Informatique, Data, Télécommunications & Digital",CDD,,,,"ASSISTANT DES OPERATIONS AIRTEL MONEY Secteur : Informatique, Data, Télécommunications & Digital."
JOB250002769,Head-Business segment(chef de secteur d'activité),AIRTEL CONGO SA,Brazzaville,"Commerce, Vente, Marketing & Distribution",CDD,,,vente,"Head-Business segment(chef de secteur d'activité) Secteur : Commerce, Vente, Marketing & Distribution."
JOB250001014,CHEF DE PRODUIT,AKIENI,Brazzaville,"Informatique, Data, Télécommunications & Digital",CDI,,,,"CHEF DE PRODUIT Secteur : Informatique, Data, Télécommunications & Digital."
JOB250001442,Assistant Polyvalent,AKIENI,Brazzaville,"Conseil, Stratégie & Gestion des Ressources Humaines",CDD,,,gestion des ressources humaines,"Assistant Polyvalent Secteur : Conseil, Stratégie & Gestion des Ressources Humaines."
JOB250002167,COMPTABLE,AKIENI,Brazzaville,"Finance, Banque, Assurance, Comptabilité & Fiscalité",CDD,,,comptabilité; fiscalité,"COMPTABLE  Secteur : Finance, Banque, Assurance, Comptabilité & Fiscalité."
JOB250002216,Directeur Administratif et Financier,AKIENI,Brazzaville,"Conseil, Stratégie & Gestion des Ressources Humaines",CDI,,,gestion des ressources humaines,"Directeur Administratif et Financier Secteur : Conseil, Stratégie & Gestion des Ressources Humaines."
JOB250002218,RESPONSABLE DESRESSOURSES HUMAINES,AKIENI,Brazzaville,"Conseil, Stratégie & Gestion des Ressources Humaines",CDI,,,gestion des ressources humaines,"RESPONSABLE DESRESSOURSES HUMAINES Secteur : Conseil, Stratégie & Gestion des Ressources Humaines."
JOB250002349,Ingénieur Devops Senior,AKIENI,Brazzaville,"Informatique, Data, Télécommunications & Digital",CDI,,,,"Ingénieur Devops Senior Secteur : Informatique, Data, Télécommunications & Digital."
JOB250001020,CHAUFFEUR DU DIRECTEUR GENERAL,AL OTHMAN REAL ESTATE GROUP,Brazzaville,"Transport, Logistique & Supply Chain",CDD,,,supply chain,"CHAUFFEUR DU DIRECTEUR GENERAL Secteur : Transport, Logistique & Supply Chain."
JOB250001030,COMMIS DE CUISINE,AL OTHMAN REAL ESTATE GROUP,Brazzaville,Hôtellerie - Restauration,CDI,,,cuisine,COMMIS DE CUISINE  Secteur : Hôtellerie - Restauration.
JOB250001031,MENUISIER,AL OTHMAN REAL ESTATE GROUP,Brazzaville,Hôtellerie - Restauration,CDD,,,,MENUISIER Secteur : Hôtellerie - Restauration.
JOB250001032,PLONGEUR,AL OTHMAN REAL ESTATE GROUP,Brazzaville,Hôtellerie - Restauration,CDD,,,,PLONGEUR Secteur : Hôtellerie - Restauration.
JOB250001033,Responsable de garde,AL OTHMAN REAL ESTATE GROUP,Brazzaville,Hôtellerie - Restauration,CDD,,,,Responsable de garde  Secteur : Hôtellerie - Restauration.
JOB250001034,RESPONSABLE SÉCURITÉ,AL OTHMAN REAL ESTATE GROUP,Brazzaville,"Sécurité, Sûreté & Défense",CDD,,,,"RESPONSABLE SÉCURITÉ  Secteur : Sécurité, Sûreté & Défense."
JOB250001035,Technicien Audiovisuel,AL OTHMAN REAL ESTATE GROUP,Brazzaville,"Communication, Médias & Événementiel",CDI,,,,"Technicien Audiovisuel  Secteur : Communication, Médias & Événementiel."
JOB250001036,RESPONSABLE MARKETING,AL OTHMAN REAL ESTATE GROUP,Brazzaville,"Commerce, Vente, Marketing & Distribution",CDI,,,vente,"RESPONSABLE MARKETING Secteur : Commerce, Vente, Marketing & Distribution."
JOB250001037,RESPENSABLE COMMERCIAL,AL OTHMAN REAL ESTATE GROUP,Brazzaville,"Commerce, Vente, Marketing & Distribution",CDD,,,vente,"RESPENSABLE COMMERCIAL Secteur : Commerce, Vente, Marketing & Distribution."
JOB250001038,AGENTS DE RELATIONS CLIENTS,AL OTHMAN REAL ESTATE GROUP,Brazzaville,"Commerce, Vente, Marketing & Distribution",CDD,,,vente,"AGENTS DE RELATIONS CLIENTS  Secteur : Commerce, Vente, Marketing & Distribution."
JOB250001039,RESPONSABLE DE NUIT,AL OTHMAN REAL ESTATE GROUP,Brazzaville,Hôtellerie - Restauration,CDD,,,,RESPONSABLE DE NUIT  Secteur : Hôtellerie - Restauration.
JOB250001040,SUPERVISEUR RECEPTION,AL OTHMAN REAL ESTATE GROUP,Brazzaville,Hôtellerie - Restauration,CDD,,,,SUPERVISEUR RECEPTION  Secteur : Hôtellerie - Restauration.
JOB250001041,Technicien climatisation,AL OTHMAN REAL ESTATE GROUP,Brazzaville,"Industrie, Production & Maintenance",CDD,,,,"Technicien climatisation Secteur : Industrie, Production & Maintenance."
JOB250001042,AGENT DE SECURITE,AL OTHMAN REAL ESTATE GROUP,Brazzaville,"Sécurité, Sûreté & Défense",CDD,,,,"AGENT DE SECURITE Secteur : Sécurité, Sûreté & Défense."
JOB250001043,Technicien cuisine & Blanchisserie,AL OTHMAN REAL ESTATE GROUP,Brazzaville,Hôtellerie - Restauration,CDD,,,cuisine,Technicien cuisine & Blanchisserie Secteur : Hôtellerie - Restauration.
JOB250001044,CONCIERGE,AL OTHMAN REAL ESTATE GROUP,Brazzaville,Hôtellerie - Restauration,CDD,,,,CONCIERGE Secteur : Hôtellerie - Restauration.
JOB250001045,Réceptionniste,AL OTHMAN REAL ESTATE GROUP,Brazzaville,Hôtellerie - Restauration,CDD,,,,Réceptionniste  Secteur : Hôtellerie - Restauration.
JOB250001046,SUPERVISEUR BLANCHISSERIE,AL OTHMAN REAL ESTATE GROUP,Brazzaville,Hôtellerie - Restauration,CDD,,,,SUPERVISEUR BLANCHISSERIE  Secteur : Hôtellerie - Restauration.
JOB250001048,Technicien piscine,AL OTHMAN REAL ESTATE GROUP,Brazzaville,Hôtellerie - Restauration,CDD,,,,Technicien piscine Secteur : Hôtellerie - Restauration.
JOB250001050,Technicien chaudière,AL OTHMAN REAL ESTATE GROUP,Brazzaville,Hôtellerie - Restauration,CDD,,,,Technicien chaudière Secteur : Hôtellerie - Restauration.
JOB250001051,OPERATEUR VIDEOSURVEILLANCE,AL OTHMAN REAL ESTATE GROUP,Brazzaville,Hôtellerie - Restauration,CDD,,,,OPERATEUR VIDEOSURVEILLANCE Secteur : Hôtellerie - Restauration.
JOB250001052,REPASSEUR,AL OTHMAN REAL ESTATE GROUP,Brazzaville,Hôtellerie - Restauration,CDD,,,,REPASSEUR Secteur : Hôtellerie - Restauration.
JOB250001053,Peintre,AL OTHMAN REAL ESTATE GROUP,Brazzaville,Hôtellerie - Restauration,CDD,,,,Peintre  Secteur : Hôtellerie - Restauration.
JOB250001054,CHARGE DE L'HEBERGEMENT DES EMPLOYES,AL OTHMAN REAL ESTATE GROUP,Brazzaville,Hôtellerie - Restauration,CDD,,,,CHARGE DE L'HEBERGEMENT DES EMPLOYES  Secteur : Hôtellerie - Restauration.
JOB250001055,Polisseur,AL OTHMAN REAL ESTATE GROUP,Brazzaville,Hôtellerie - Restauration,CDD,,,,Polisseur Secteur : Hôtellerie - Restauration.
JOB250001056,Superviseur Réservations,AL OTHMAN REAL ESTATE GROUP,Brazzaville,Hôtellerie - Restauration,CDD,,,,Superviseur Réservations  Secteur : Hôtellerie - Restauration.
JOB250001057,Spa Thérapeute,AL OTHMAN REAL ESTATE GROUP,Brazzaville,Hôtellerie - Restauration,CDD,,,,Spa Thérapeute  Secteur : Hôtellerie - Restauration.
JOB250001058,RESPONSABLE BAGAGISTE,AL OTHMAN REAL ESTATE GROUP,Brazzaville,Hôtellerie - Restauration,CDD,,,,RESPONSABLE BAGAGISTE Secteur : Hôtellerie - Restauration.
JOB250001059,Maçon,AL OTHMAN REAL ESTATE GROUP,Brazzaville,"Bâtiment, Travaux Publics & Aménagement du Territoire",CDD,,,,"Maçon  Secteur : Bâtiment, Travaux Publics & Aménagement du Territoire."
JOB250001060,SUPERVISEUR DES ESPACES PUBLICS,AL OTHMAN REAL ESTATE GROUP,Brazzaville,Hôtellerie - Restauration,CDD,,,,SUPERVISEUR DES ESPACES PUBLICS Secteur : Hôtellerie - Restauration.
JOB250001061,SUPERVISEUR DES JARDINIERS,AL OTHMAN REAL ESTATE GROUP,Brazzaville,Hôtellerie - Restauration,CDD,,,,SUPERVISEUR DES JARDINIERS Secteur : Hôtellerie - Restauration.
JOB250001062,COUTURIER,AL OTHMAN REAL ESTATE GROUP,Brazzaville,Hôtellerie - Restauration,CDD,,,,COUTURIER Secteur : Hôtellerie - Restauration.
JOB250001064,SUPERVISEUR DU CREDIT,AL OTHMAN REAL ESTATE GROUP,Brazzaville,"Finance, Banque, Assurance, Comptabilité & Fiscalité",CDD,,,comptabilité; fiscalité,"SUPERVISEUR DU CREDIT  Secteur : Finance, Banque, Assurance, Comptabilité & Fiscalité."
JOB250001065,EMPLOYER AUX COMPTES CLIENTS,AL OTHMAN REAL ESTATE GROUP,Brazzaville,"Finance, Banque, Assurance, Comptabilité & Fiscalité",CDD,,,comptabilité; fiscalité,"EMPLOYER AUX COMPTES CLIENTS  Secteur : Finance, Banque, Assurance, Comptabilité & Fiscalité."
JOB250001066,COORDINATEUR ACHATS,AL OTHMAN REAL ESTATE GROUP,Brazzaville,"Transport, Logistique & Supply Chain",CDD,,,supply chain,"COORDINATEUR ACHATS  Secteur : Transport, Logistique & Supply Chain."
JOB250001067,EMPLOYER MAGASIN,AL OTHMAN REAL ESTATE GROUP,Brazzaville,"Commerce, Vente, Marketing & Distribution",CDD,,,vente,"EMPLOYER MAGASIN  Secteur : Commerce, Vente, Marketing & Distribution."
JOB250001068,MAGASINIER,AL OTHMAN REAL ESTATE GROUP,Brazzaville,"Transport, Logistique & Supply Chain",CDD,,,supply chain,"MAGASINIER  Secteur : Transport, Logistique & Supply Chain."
